Deploy complete @ Wed Aug 23 2017 14:39:28 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:39:45 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:39:48 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:40:42 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:40:44 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:40:48 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:40:50 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:41:00 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:41:01 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:41:56 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:41:58 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:42:14 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:42:16 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:43:23 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:43:25 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:44:06 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:44:08 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:44:32 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:44:34 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:44:50 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:44:52 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:44:56 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:44:58 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:45:33 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:45:35 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:46:16 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:46:18 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:46:30 GMT-0700 (PDT). added/changed 1 file(s): layout/theme.liquid.
Deploy complete @ Wed Aug 23 2017 14:46:34 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:46:37 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:46:50 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
